Date,Mean_temp,Min_temp,Max_temp,Mean_humidity,Min_humidity,Max_humidity,Mean_pressure,Min_pressure,Max_pressure,Daily_precipitation,Mean_wind_speed,Wind_direction,Max_wind_speed
2016-01-01,0.2,0.2,0.2,52.9,63,44,1028.7,1031.2,1025.3,0,5.3,NW,9.6
2016-01-02,2.7,2.7,2.6,60,78,47,1024.4,1026,1021.4,0,2.9,W,5.1
2016-01-03,4.9,4.9,4.9,90.7,95,78,1013,1021.5,1006,5.6,3.4,WSW,6.6
2016-01-04,6,6,6,92.5,95,88,1005.4,1008.8,999.8,0,4.4,W,8.4
2016-01-05,8,8,8,93.6,95,92,1004.1,1007.6,999.8,1.2,1.6,W,3.5
2016-01-06,9.9,10,9.9,95.4,96,94,1002,1006.6,993.6,2.2,2.3,W,5.3
2016-01-07,10.8,10.8,10.7,76.2,96,55,997,1003.9,993.3,0.4,13.6,NW,20.8
2016-01-08,10.1,10.2,10,63.4,78,49,1011.2,1016.4,1004,0,5.9,WNW,10
2016-01-09,9.2,9.3,9.2,76.9,84,61,1016.4,1018.2,1014.8,0,0.7,WSW,1.8
2016-01-10,9.7,9.7,9.6,87.5,92,82,1012.7,1015.5,1010.8,0,0.4,W,1.8
2016-01-11,9.6,9.7,9.6,91.1,96,73,1011.8,1014.5,1007.7,0,0.6,SE,2.8
2016-01-12,15.2,15.3,15.1,63.3,73,51,1005.2,1009.2,1001.2,0.2,7.5,E,15
2016-01-13,10.5,10.6,10.4,67.7,84,45,1011.2,1015.4,1009.1,0,3.8,W,7.8
2016-01-14,9.9,9.9,9.8,62.4,84,44,1019.2,1021.5,1015.5,0,4.9,W,8.7
2016-01-15,11.8,11.8,11.7,68.8,84,54,1012,1018,1006.5,0,3.1,E,9.4
2016-01-16,8.3,8.4,8.3,91.6,95,84,1002.1,1006.5,997.4,0.2,6.6,WNW,11.1
2016-01-17,4.3,4.4,4.3,74.5,85,66,999.9,1003.3,997.2,0,22.3,NW,32.1
2016-01-18,1.1,1.2,1.1,70.1,90,62,1010.4,1017.3,1003.4,0,19,NW,27.5
